,cookie_key,category
0,1P_JAR,Targeting/Advertising
1,TESTCOOKIESENABLED,Unknown
2,,Unknown
3,nextId,Unknown
4,requests,Unknown
5,remote_sid,Unknown
6,cna,Unknown
7,isg,Unknown
8,l,Unknown
9,tfstk,Unknown
10,xlly_s,Unknown
11,_pgar,Unknown
12,_ga,Performance
13,_gid,Performance
14,_gat_UA-113093516-1,Performance
15,_ga_D9KXP9673K,Performance
16,_ga_3VJ2NVL4LT,Performance
17,_gat_UA-98131833-11,Performance
18,cq,Unknown
19,_gat_UA281385011,Targeting/Advertising
20,OTZ,Unknown
21,CheckConnectionTempCookie423,Error
22,t,Unknown
23,_tb_token_,Unknown
24,_m_h5_tk,Unknown
25,_m_h5_tk_enc,Unknown
26,sm4,Error
27,pnm_cku822,Unknown
28,BIDUPSID,Unknown
29,PSTM,Unknown
30,BDSVRTM,Unknown
31,BD_HOME,Unknown
32,H_PS_PSSID,Unknown
33,BD_UPN,Unknown
34,NOJS,Unknown
35,BA_HECTOR,Unknown
36,ISWR,Unknown
37,BDRCVFR[w2jhEs_Zudc],Unknown
38,delPer,Unknown
39,BDRCVFR[S4-dAuiWMmn],Unknown
40,BD_CK_SAM,Unknown
41,PSINO,Unknown
42,WWW_ST,Unknown
43,ts_last,Unknown
44,pgv_pvid,Unknown
45,ts_uid,Functionality
46,ad_play_index,Unknown
47,Hm_lvt_43115ae30293b511088d3cbe41ec099c,Strictly Necessary
48,Hm_lpvt_43115ae30293b511088d3cbe41ec099c,Strictly Necessary
49,Hm_ck_1617114779254,Error
50,Hm_lvt_f28578486a5410f35e6fbd0da5361e5f,Strictly Necessary
51,Hm_lpvt_f28578486a5410f35e6fbd0da5361e5f,Strictly Necessary
52,Hm_ck_1617114779550,Error
53,itssohu,Error
54,reqtype,Error
55,gidinf,Error
56,SUV,Unknown
57,beans_new_turn,Error
58,H_PS_645EC,Unknown
59,LOCALGX,Error
60,BDORZ,Unknown
61,Hm_lvt_e9e114d958ea263de46e080563e254c4,Strictly Necessary
62,Hm_lpvt_e9e114d958ea263de46e080563e254c4,Strictly Necessary
63,Hm_ck_1617114783802,Error
64,ad_t_v3_index_side_1_undefined___,Error
65,ad_t_4,Error
66,ad_t_v3_index_side_2_undefined___,Error
67,ad_t_3,Error
68,ad_t_v3_index_side_3_undefined___,Error
69,ad_t_v3_index_side_4_undefined___,Error
70,ad_t_v3_index_side_5_undefined___,Error
71,ad_t_v3_index_side_6_undefined___,Error
72,ad_t_2,Error
73,ad_t_v3_index_side_7_undefined___,Error
74,ad_t_v3_index_side_8_undefined___,Error
75,ad_t_v3_index_column_1_undefined___,Error
76,ad_t_5,Error
77,ad_t_v3_index_column_2_undefined___,Error
78,ad_t_v3_index_column_3_undefined___,Error
79,ad_t_v3_index_column_4_undefined___,Error
80,ad_t_v3_index_column_5_undefined___,Error
81,ad_t_v3_index_column_6_undefined___,Error
82,ad_t_v3_index_txt_history_1_undefined___,Error
83,ad_t_6,Error
84,IPLOC,Unknown
85,_js_datr,Functionality
86,wd,Targeting/Advertising
87,ts_refer,Unknown
88,BDRCVFR[jZaqtBMr_Ls],Error
89,pac_uid,Unknown
90,x-src,Unknown
91,ctoken,Unknown
92,__wpkreporterwid_,Unknown
93,locale,Unknown
94,dpr,Unknown
95,luin,Unknown
96,lskey,Unknown
97,uin,Unknown
98,skey,Unknown
99,main_login,Error
100,access_token,Strictly Necessary
101,nick,Unknown
102,encuin,Error
103,shequid,Error
104,vqq_access_token,Error
105,vqq_openid,Error
106,ch_key,Error
107,ifoxinstalled,Unknown
108,playpage_abtest,Error
109,fuid,Unknown
110,newpuid,Error
111,series_video,Error
112,landingrefer,Error
113,beans_freq,Error
114,iwt_uuid,Unknown
115,user_isOpenedVip,Error
116,fee_status,Unknown
117,fee_search,Error
118,beans_dmp,Error
119,beans_dmp_done,Error
120,COOKIE_SESSION,Unknown
121,ad_t_article_writer_24___,Error
122,ad_t_article_recommends_24___,Error
123,ad_t_article_side_fix_24___,Error
124,ad_t_side_fix_2,Error
125,ad_t_article_nav_button_24___,Error
126,beans_dmp_busi_done,Error
127,GoogleAdServingTest,Targeting/Advertising
128,focus_mes_info,Error
129,focus_pc_city_p,Error
130,focus_city_p,Error
131,focus_city_c,Error
132,focus_city_s,Error
133,BAIDU_SSP_lcr,Error
134,gr_user_id,Unknown
135,87a4bcbf0b1ea517_gr_session_id_84b49ac8-91cd-4305-9742-19ee4b349882,Error
136,87a4bcbf0b1ea517_gr_session_id,Error
137,thw,Unknown
138,monitor_count,Unknown
139,__sid,Unknown
140,__guid,Unknown
141,__gid,Performance
142,_fbp,Targeting/Advertising
143,hng,Unknown
144,__jda,Unknown
145,__jdb,Error
146,__jdc,Error
147,__jdv,Error
148,__jdu,Unknown
149,test,Performance
150,AMCV_98CF678254E93B1B0A4C98A5%40AdobeOrg,Targeting/Advertising
151,AMCVS_98CF678254E93B1B0A4C98A5%40AdobeOrg,Targeting/Advertising
152,s_cc,Performance
153,Hm_lvt_58e1eeaf8bc15ad5a8f9069613af799a,Strictly Necessary
154,Hm_lpvt_58e1eeaf8bc15ad5a8f9069613af799a,Strictly Necessary
155,Hm_ck_1617114882321,Error
156,_gat,Performance
157,session-id,Error
158,session-id-time,Error
159,i18n-prefs,Unknown
160,skin,Unknown
161,csm-hit,Unknown
162,ubid-main,Unknown
163,GUC,Unknown
164,EuConsent,Strictly Necessary
165,rx,Unknown
166,FPNC,Error
167,IDSYNC,Targeting/Advertising
168,thamba,Unknown
169,GeoIP,Functionality
170,apeaf,Unknown
171,yvapF,Unknown
172,kxyahoo_data,Error
173,visitorId,Unknown
174,_gcl_au,Targeting/Advertising
175,vmcid,Error
176,vmuuid,Error
177,_rdt_uuid,Unknown
178,enwikiwmE-sessionTickLastTickTime,Unknown
179,enwikiel-sessionId,Unknown
180,enwikiwmE-sessionTickTickCount,Unknown
181,enwikimwuser-sessionId,Unknown
182,vuid,Functionality
183,BVImplmain_site,Error
184,cookietest,Strictly Necessary
185,ltkTestMode,Unknown
186,STSD841539,Error
187,ltkSubscriber-Footer,Unknown
188,ltkSubscriber-GiveAway,Error
189,ltkSubscriber-discountCode,Error
190,ltkSubscriber-AccountCreation,Unknown
191,ltkSubscriber-SocialSignup,Error
192,__tld__,Error
193,ajs%3Atest,Unknown
194,ajs%3Acookies,Unknown
195,ajs_user_id,Targeting/Advertising
196,ajs_group_id,Targeting/Advertising
197,ajs_anonymous_id,Functionality
198,__attentive_id,Unknown
199,GSIDpPnEm4yJuKRu,Error
200,STSID841539,Error
201,__attentive_cco,Unknown
202,__attentive_pv,Unknown
203,ffvisitorids,Unknown
204,session-token,Error
205,specieswikiwmE-sessionTickLastTickTime,Unknown
206,specieswikiel-sessionId,Error
207,specieswikiwmE-sessionTickTickCount,Unknown
208,tracker_device,Unknown
209,__attentive_dv,Unknown
210,__stripe_mid,Functionality
211,__stripe_sid,Functionality
212,ltkSubscriber-Account,Unknown
213,ltkSubscriber-Popup,Unknown
214,_uetsid,Targeting/Advertising
215,_uetvid,Performance
216,current_shipping_estimates,Error
217,_gcl_aw,Targeting/Advertising
218,_gcl_dc,Unknown
219,_ga_G40J80XL4G,Performance
220,_gac_UA-1860758-1,Performance
221,_pin_unauth,Functionality
222,_ltk_recs_trk,Unknown
223,ltk_recs_trk,Unknown
224,ltk-recentlyViewed,Unknown
225,ltk-sessionViewed,Unknown
226,ltkpopup-session-depth,Unknown
227,_vuid,Error
228,BVBRANDID,Performance
229,BVBRANDSID,Performance
230,seen_giveaway_popup,Error
231,user-zone-offset,Error
232,s_nr,Performance
233,s_vnum,Performance
234,s_invisit,Performance
235,s_dslv,Unknown
236,s_dslv_s,Unknown
237,s_c27,Unknown
238,s_sq,Performance
239,dismissASN,Error
240,zhwikiwmE-sessionTickLastTickTime,Error
241,zhwikiel-sessionId,Error
242,zhwikiwmE-sessionTickTickCount,Error
243,zhwikimwuser-sessionId,Error
244,login_sid_t,Unknown
245,cross_origin_proto,Unknown
246,_gat_WeiBoChannel,Targeting/Advertising
247,WBStorage,Error
248,_s_tentry,Unknown
249,UOR,Unknown
250,sina_ucode,Error
251,historyRecord,Error
252,NowDate,Unknown
253,name,Unknown
254,post,Unknown
255,page,Unknown
256,SGUID,Unknown
257,SHMG,Unknown
258,wdcid,Unknown
259,wdlast,Unknown
260,ULV,Unknown
261,Apache,Unknown
262,SINAGLOBAL,Unknown
263,UM_distinctid,Unknown
264,_cnzz_CV,Unknown
265,CNZZDATA5832809,Unknown
266,CNZZDATA1271230489,Unknown
267,CNZZDATA1275612820,Unknown
268,CNZZDATA1262159448,Unknown
269,_gat_HouseChannel,Targeting/Advertising
270,TS0130d2a6,Error
271,CurrentWebMode,Unknown
272,CurrentCulture,Unknown
273,lang,Functionality
274,appkey,Unknown
275,loid,Unknown
276,session_tracker,Unknown
277,csv,Unknown
278,edgebucket,Unknown
279,aasd,Unknown
280,__aaxsc,Unknown
281,BDRCVFR[xwHxBOjvFz6],Error
282,WEB5_OTHER,Error
283,CNZZDATA1261017783,Error
284,G_ENABLED_IDPS,Strictly Necessary
285,nfvdid,Unknown
286,memclid,Unknown
287,flwssn,Unknown
288,clSharedContext,Unknown
289,cL,Unknown
290,eupubconsent,Strictly Necessary
291,nflx_tags_fb_simplicity_nmLanding,Unknown
292,XSRF-TOKEN,Strictly Necessary
293,has_js,Functionality
294,netflixHelpCenterLocale,Unknown
295,cf_token,Unknown
296,ClientId,Unknown
297,OWAPF,Unknown
298,Hm_lvt_b5bbb224333c5f790b6584e7b3ad3251,Strictly Necessary
299,Hm_lpvt_b5bbb224333c5f790b6584e7b3ad3251,Strictly Necessary
300,Hm_ck_1617115073802,Error
301,oref,Unknown
302,AMC-MS-CV,Unknown
